employee_id,nama,tanggal_bergabung,tanggal_isi_survei,jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,jumlah_tanggungan,departemen,jabatan,lama_bekerja_tahun,tipe_perusahaan,ukuran_perusahaan,rentang_gaji,status_wfh,jenis_shift,jam_kerja_per_hari,jam_lembur_per_hari,hari_kerja_per_minggu,frekuensi_meeting_per_hari,beban_kerja_persepsi,jumlah_deadline_per_minggu,jam_tidur_per_hari,kualitas_tidur,waktu_tidur_malam,jam_istirahat_siang,frekuensi_olahraga_per_minggu,durasi_olahraga_menit,jam_layar_per_hari,konsumsi_kafein_per_hari,status_merokok,pola_makan,tingkat_stres,tingkat_kecemasan,tingkat_depresi,motivasi_kerja,kepuasan_kerja,work_life_balance,produktivitas_diri,kemampuan_konsentrasi,dukungan_sosial_rekan,dukungan_atasan,keluhan_fisik_utama,riwayat_kesehatan_mental,akses_layanan_kesehatan_mental,frekuensi_konflik_kerja,keamanan_pekerjaan,kebijakan_mh_perusahaan,status_kesehatan_mental,deskripsi_keluhan,tingkat_burnout
kry_10399,Oliva Natsir,6/5/2020,12/20/2018,perempuan,31.73,S2,Belum Menikah,3,Finance,Data Scientist,8.16,WFH,501-1000 orang,3-5 juta,Kadang,Malam,4.33,0.7,5.97,3,Sedang,2,6.24,,jam 10,0.68,0.01,30.83,5.63,1,tidak,Tidak Teratur,5.85,5.91,2.55,7.63,8.93,4.81,9.69,3.08,,6.26,Nyeri Punggung,Anxiety,Ya,1.04,Sangat Tidak Aman,Ada,Cukup,mood swing,0.95
KRY28842,Anita Saefullah,9/9/2019,6-Aug-23,perempuan,21.27,S1,,0,sales,Finance Analyst,0.64,Swasta,201-500 orang,5-8 juta,ya,Pagi,14.86,3.16,5.13,2,Sedang,1,7.01,7.13,Tidak Tentu,0.47,1.45,0,6.59,3,Tidak,Teratur,5.38,4.93,5.04,5.92,6.73,2.8,8.38,7.12,5.8,5.15,Pusing,Tidak Ada,tidak,4.82,Cukup Aman,Tidak Ada,Buruk,takut kehilangan pekerjaan,0.89
EMP15203,Hardi Permadi,27/04/2019,29-Nov-20,L,29.5,,Menikah,3,Product,HR Staff,1.22,Swasta,501-1000,,Ya,Siang,9.49,0.79,47.7,2,Sedang,6,,4.69,23:00-00:00,0.74,0.36,29.75,8.69,2,ya,Buruk,9.19,48.87,4.83,8.06,4.4,1,3.42,6.18,6.59,5.94,Sakit Kepala,Burnout Sebelumnya,Ya,,Aman,Ada dan Efektif,Good,stress karena deadline,0.86
5218,Dalima Saputra,,29/07/2023,Perempuan,22.15,,Belum Menikah,2,Product,Customer Service,0.1,PMA,51-200 orang,8-12 juta,T,Pagi,11.12,2,4.85,4,,1,6.39,,00:00-01:00,0.8,2.58,46.15,12.2,45.96,Kadang,Cukup,8.82,5.02,3,8.01,4.2,4.87,,,1.3,4.7,Sakit Kepala,Pernah Depresi,Pernah,2.08,Aman,Tidak Ada,Baik,kadang2 stress,0.83
EMP10702,Imam Maryadi,16-12-2018,7/20/2020,Perempuan,20.87,S1,Menikah,0,IT,HR Manager,2.5,Startup,10-50 orang,tidak mau menyebutkan,Y,Malam,7.96,,6.93,3,Berat,3,7.47,4.64,tidak tentu,0.13,3.55,20.51,9.97,2,Ya,Cukup,32.27,3.91,5.55,7.61,10,3.84,2.69,4.46,9.94,5.17,Sakit Punggung,Tidak Ada,Tidak,,Aman,Ada,Tidak Baik,fine aja,0.64
E16131,"Cakrawala Palastri, S.Pd",29/04/2025,5/28/2021,female,27.68,S-1,Menikah,1,marketing,Technical Support,1.13,bumn,> 1000 orang,5-8 juta,Tidak,Pagi,12.38,0.2,6.73,6,Berat,4,6.29,7.82,Tidak Tentu,0.84,2.57,49.47,9.06,,Tidak,Sedang,10,2.56,4.27,,7.61,1.55,3.63,4.83,4.7,3.76,Nyeri Punggung,Tidak Ada,Tidak,6.35,Khawatir,Ada tapi Tidak Efektif,Buruk,tidak ada keluhan,0.44
kry_27230,Raharja Megantara,,3/30/2021,perempuan,,s1,Belum Menikah,8.52,SDM,Marketing Manager,5.38,Corporate,51-200 orang,3-5 juta,Kadang,Fleksibel,5.6,7.26,5.34,3,ringan,3,,5.31,21:00-22:00,-0.58,0.85,38.96,,3,Tidak,,4.34,6.41,4.15,6.38,4.42,7.42,38.88,7.04,5.15,,Pusing,Kecemasan,Tidak Mampu Biaya,3.1,Sangat Khawatir,Ada dan Efektif,Cukup,kadang2 stress,0.19
,Lala Nasyidah,,2/26/2024,LAKI-LAKI,35.78,-,Single,2,FINANCE,Finance Manager,0.85,,> 1000 orang,5-8 juta,Ya,Fleksibel,10.16,0.82,5.64,,Berat,1,5.03,5.73,00:00-01:00,0.38,0.28,22.12,6.76,1,tidak,Teratur,5.57,6.4,5.35,5.23,,4.87,5.69,5.78,,1.09,Mata Lelah,Tidak,Tidak Tahu Ada,5.95,Khawatir,Tidak Tahu,buruk,n/a,0.82
EMP27391,Hj. Latika Situmorang,28/07/2020,5/17/2021,Pria,25.86,S2,Menikah,0,sales,Marketing Staff,0.11,Startup,10-50 orang,3-5 juta,Tidak,Pagi,,0.45,6.97,4,Ringan,2,5.11,6.27,00:00-01:00,1.35,0.31,62.94,12.2,3,Tidak,Cukup,3.96,5.25,5.59,5.77,2.61,2.73,8.27,1.24,7.04,5.78,Nyeri Punggung,Tidak,Tidak,6.88,Netral,Ada tapi Tidak Efektif,Good,kerja terlalu banyak,0.92
ID701,"Eva Lailasari, M.Kom.",0000-00-00,12/6/2023,Perempuan,25.34,S1,MENIKAH,1,Engineering,Junior Developer,4.41,,501-1000 orang,5-8 juta,Ya,08:00-17:00,6.52,2.6,4.36,3,Sedang,1,7.12,2.74,tidak tentu,0.3,,55.23,8.17,4,no,Buruk,,4.66,9.77,7.37,9.95,3.57,6.8,,5.27,6.25,Sakit Kepala,depresi,Tidak,4.74,Tidak Aman,Tidak Ada,Cukup,tidak mau menjawab,0.79
ID7723,Dimas Salahudin,5-Jan-19,27/11/2025,Pria,30.92,S2,Divorced,1,HR,HR Specialist,6.17,Startup,51-200 orang,8-12jt,Tidak,Malam,8.15,2.81,4.78,,Berat,3,5.7,9.29,00:00-01:00,1.73,0.71,19.22,8.97,2,ya,Teratur,6.86,6.43,4.13,1.46,4.64,5.41,3.49,6.51,6.27,4.61,Pusing,tidak ada,Ya,3.06,Aman,Ada,Buruk,stress bgt tp masih oke,0.58
ID21612,Unggul Uwais,0000-00-00,16-Jan-22,perempuan,29.45,D3,Menikah,0,Marketing,HR Staff,1.52,BUMN,Besar,12-20 juta,Ya,rotasi,,1.4,6.18,3,Sedang,6,6.63,3.38,00:00-01:00,1.28,0.92,45.81,9.4,3,,Sehat,6.71,9.01,6.34,,6.28,N/A,6.55,8.06,3.13,8.54,Nyeri Punggung,tidak ada,Tidak,,Aman,Ada,Cukup Baik,burnout parah,0.17
